dancer_id,wins_2025,wins_total,dancer_name
26744,1,1,Nadège Graveaud
26730,1,1,Louis Carruthers
25624,1,1,Madeleine Reiter
25929,1,1,Joachim Förster
25978,1,1,Rodolfo Blanquicett
25977,1,1,Makayla Heinle
25960,1,1,Jordan Robey
25951,1,1,Kyla Welsh
25948,1,1,Hannah Roth
25945,1,1,Laura Prada
25913,1,1,Tanja Blätz
25997,1,1,Oleksandra Makedon
25902,1,1,Wolf Schade
25900,1,2,Bailey Miles
25880,1,1,Agnieszka Paluszek
25871,1,1,Krzysztof Zajączkowski
25865,1,1,Olivia Doan
25863,1,1,Diego Brea
25987,1,1,Maja Ludwikowska
23689,1,1,Hailey Rogers
26728,1,1,Haustyn Forney
26072,1,1,Abbie Brown
26163,1,1,Alivia Spencer
26142,1,1,Lena Nielsen
26134,1,1,Marie-Christine Molina
26115,1,1,Jihan Salsabila
26106,1,1,Arnol Hamdani
26093,1,1,Emmi Myöhänen
26064,1,1,Galen Beede
25999,1,1,Ying Yu
26053,1,1,Irina Tuchinskaya
26050,1,1,Alisa Petrushina
26049,1,1,Xixuan Zhu
26019,1,1,Delphine Gorlier
26012,1,1,Bruno Ploumhans
26008,1,1,Luciana Gravotta
25862,1,1,Chase Beloff
25860,1,1,Sam Smith
25856,1,1,Fiona Newby
25663,1,1,Zoltán Dominguez
25713,1,1,Glenn Rossi
25709,1,1,Elisa Tabor
25697,1,1,Kimberly Neely
25684,1,1,Sarah Vergnolle
25680,1,1,Pierre-Joseph Delattre
25666,1,1,Vanessa Kremser
25661,1,1,Florian Albrecht
25841,1,1,Felicia Birgitta Lilkaer
25656,1,1,Karolina Kniaziuk
25647,1,1,Petra Franchi
25638,1,1,Daniel Gimenez Llorente
25631,1,1,Robin Sparr
25629,1,1,Martin Bloch
25625,1,1,Saskia Sportel
25726,1,1,Savannah Davis
25729,1,1,Kimberly Rapp
25732,1,1,Alison Klein
25737,1,1,Eddie Reyes
25744,1,1,Madelena Pine
25754,1,1,Alex Gracia
25756,1,1,Emily Aukamp
25757,1,1,Scott Hader
25771,1,1,Adrian Maldonado
25775,1,1,Curtis Jung
25777,1,1,Wendy Parr
25786,1,1,Pascal Turcot
25792,1,1,Stéphanie Vallée
25800,1,1,Kata Kosztolányi
25823,1,1,Josiah Nuest
25826,1,1,Alan Eijkelhof
25834,1,1,Rickard Ström
26176,1,1,Julia Åberg
26198,1,1,Dmitriy Bursh
26208,1,1,Alexandra Kleymenova
26525,1,1,Maria Sutter
26581,1,1,Arnold Cheong
26576,1,1,Dina Megat
26571,1,1,Yi-Hsiang Chen
26560,1,1,Romain Bobillier
26549,1,1,Lori Byrd
26536,1,1,Lilly Kaufman
26523,1,1,Peter Christian
26464,1,1,Cristina Nicoleta Niculae
26517,1,1,Raegan Kalasz
26515,1,1,Cai Garcia
26504,1,1,Daisy Mohrman
26494,1,1,Jessica Werlin
26491,1,1,Isaiah Figueroa
26481,1,1,Trinity Gorgas
26587,1,1,Aleksandr Timonin
26589,1,1,Tatyana Parfenova
26594,1,1,Giovanna Dubuc
26599,1,1,Bettina Velasco
26610,1,1,Kareen Rivera
26620,1,1,Silvia Saggiomo
26628,1,1,Verena Fuhrmann
26639,1,1,Matthias Palfi
26647,1,1,Saskia Reisenauer
26659,1,1,Pierre Vittorio Sinajon
26667,1,1,Soile Weaver
26675,1,1,Anton Shalgachev
26684,1,1,Elina Väisänen
26696,1,1,Emily Doubt
26704,1,1,Camille Renfroe
26720,1,1,Matthew Pische
26725,1,1,Carlysle Garland
26478,1,1,Ty Bucek
26448,1,1,Emily Engel
26224,1,1,Maria Chicheleva
26279,1,1,Michael Diez
26317,1,1,Slata Zlatin
26307,1,1,Yiqun Amy Chen
26293,1,1,BeLynn Buckley
26290,1,1,Zander Adkins
26289,1,2,Jazzy Durgin
26284,1,1,Carolina Penteado
26275,1,1,Isabel Lembke
26440,1,1,Sara Blasi
26270,1,1,Briahne Holland
26265,1,1,Rebecca Fox
26254,1,1,Stephanie Woo Dearden
26249,1,1,Robin Hylands
26233,1,1,Chelsea Evenson
26225,1,1,Adam Dahlman
26323,1,1,Helle Mortensen
26338,1,1,Marek Grzybowski
26343,1,1,Michał Chudzik
26348,1,1,Patrycja Tucholska
26360,1,1,Calvin Cleveland
26361,1,1,Stephenie Thai
